Sample,KL,Mdists,Zvals,Peak,Correlation
01286.dpt,2.6349863893893195,3.766843554898239,-164.32652374038588,0.15657556115864033,0.9829944339003137
01287.dpt,2.4142873847189645,3.272622867390615,-134.51523108000094,0.1752144018841278,0.9786641847607425
01288.dpt,2.4448028521733556,3.300332549938053,-32.15455252965924,0.19897707351338575,0.9810935486476482
01289.dpt,2.585332272001151,3.4977183294606404,45.336145480182836,0.2012315311405392,0.9793380135665509
01290.dpt,2.6270529287380926,3.517962311207825,53.32764441891924,0.21998074898211883,0.9801335359624652
01291.dpt,2.007925236492182,2.449625618585036,-165.80459784499163,0.21058756616038857,0.9749424433259205
01292.dpt,1.874582580053137,2.390530226305446,-147.36890942984812,0.231479706881974,0.9726175918180393
01293.dpt,2.31008539362991,3.0598914824148724,-55.036383248455294,0.24471853473430363,0.974998072373671
01294.dpt,1.7626936934727182,2.303747839231991,1.7845908062498939,0.24593707653380809,0.9743790439269725
01295.dpt,1.8638430788094327,2.2159932818010963,-45.75441736643047,0.27779118153965693,0.9736821530554431
01296.dpt,1.8597188906143232,2.2191850065071934,-46.41317056211833,0.28551535586212096,0.9707821618244901
01297.dpt,1.6360852555052208,1.9538938875196359,-40.64353886473535,0.3183262434128507,0.9704472974629482
01298.dpt,4.1219081178709365,8.688958846543306,-1247.0962226943295,0.012168138815453783,0.9614818231276412
01299.dpt,4.260760015194523,8.722351355961276,-1240.074140817928,0.018155902231535702,0.9685939181864811
01300.dpt,4.109697655563962,7.44404453069114,-544.1881423255231,0.0352285490228505,0.9833912264470874
01301.dpt,4.665910859196642,7.41618847735147,-129.76037101945968,0.07317045588572683,0.9870963519521747
01302.dpt,3.5981576244027904,6.558752735741051,-301.7946257854275,0.06953655707538459,0.9862803872060577
01303.dpt,2.822097303541509,4.3995893871922735,-293.6190955992246,0.0865634466293256,0.9858615417701135
01304.dpt,5.624078459487758,10.2942973295576,291.02025024587545,0.1031838601643838,0.9823170405674835
01305.dpt,6.673980234936568,12.057777330131417,348.6147900022949,0.13459417829685102,0.9799395715200172
01306.dpt,7.47033406133572,16.757235923390798,382.2860360327827,0.14228695511471856,0.9744175573916303
01307.dpt,9.5384263402046,18.152363101824463,495.80478098384117,0.1554599413065681,0.9648068834059151
01308.dpt,2.6379088117987073,4.230320432604631,-48.33488190497988,0.15122716024794475,0.9839806012154292
01309.dpt,1.705741759139655,1.989875457678402,-26.651937333066332,0.32532109249946484,0.9719794653104945
01310.dpt,2.463984562710618,3.6246571903720075,47.459982852105846,0.3185677421592365,0.9735872004239046
01311.dpt,1.7683477896638233,2.239684165981303,-23.76293731780656,0.35194818400963457,0.9727487910859182
01312.dpt,1.4788300904168388,1.6639923766225155,-99.9368789741091,0.31545306339152385,0.9700904526276202
01313.dpt,1.7515779979469328,2.1540591149108836,51.279876923421824,0.36366660118924654,0.9712681092224575
01314.dpt,1.8184915447008019,2.353648056612362,23.692769798493053,0.3853108004686238,0.9710707425758217
01315.dpt,1.4008121303406373,1.5707944444555728,-26.981946542868066,0.41589631480267697,0.9692685982455985
01316.dpt,1.005253634496528,0.8109551383349786,-66.75501230052409,0.5048587420334623,0.9670931116240223
01317.dpt,0.9381398522463347,0.7931545320956886,-16.099027975884933,0.6870563274148997,0.9675274621064599
01168.dpt,8.778272320400605,19.54465359383036,-4.308361834846971,0.00949232664724519,0.7901343876202047
01170.dpt,11.763109177803052,22.34930789440519,-111.48548175774235,0.007388014670039814,0.7868014070121979
01171.dpt,8.012949634962496,15.37688050798015,-111.01011675122407,0.010159504874219044,0.8490256365129066
01172.dpt,7.797485315056843,14.795374195073606,-35.82170305275537,0.011789881829016715,0.8546315897639385
01173.dpt,10.773135302362945,19.888469387154426,93.92494398283984,0.0114476655787746,0.8455613292410868
01174.dpt,7.870030574563563,14.191218750975757,-17.7088588997897,0.014381820130108712,0.8552750755992927
01175.dpt,4.636838047677044,8.452305495340743,-30.284044236460723,0.017803042892861123,0.8388002543358701
